,Model.farm_code,Model.farm_name,Model.examin_datetm,Model.avg_prbrd,Model.avg_lgdiamtr,Model.avg_frut_wt,Model.avg_flsh_wgh,Model.avg_flsh_rate,Model.avg_frsk_one,Model.avg_brx,Model.avg_prcn,Model.avg_brx_prcn_rate,과일
0,01,용흥,2016-08-01,37.5,33.8,24.8,16.6,66.7,2.6,8.5,3.6,2.4,감귤
1,01,용흥,2016-08-16,41.3,36.7,33.2,24.2,72.9,2.4,9.2,3.2,2.9,감귤
2,01,용흥,2016-09-01,46.5,40.2,46.2,35.9,77.6,2.3,8.9,2.4,3.9,감귤
3,01,용흥,2016-09-20,53.1,44.4,68.2,56.2,82.2,1.8,8.7,1.5,5.7,감귤
4,01,용흥,2016-10-04,55.9,45.4,77.8,65.3,83.9,1.7,8.9,0.9,9.5,감귤
5,01,용흥,2016-10-17,59.0,45.7,90.8,76.5,84.2,1.8,9.5,0.8,12.5,감귤
6,01,용흥,2016-11-03,62.6,54.5,109.1,90.2,82.7,2.2,9.6,0.7,13.4,감귤
7,01,용흥,2016-11-14,65.2,54.8,121.4,97.7,80.6,2.5,10.3,0.7,15.7,감귤
8,02,성산,2016-08-01,39.4,34.5,27.4,18.2,66.6,2.7,6.5,3.5,1.9,감귤
9,02,성산,2016-08-16,40.8,35.3,31.1,22.9,73.4,2.1,8.2,3.0,2.8,감귤
10,02,성산,2016-09-01,45.0,37.6,39.5,30.3,76.7,2.4,8.4,2.3,3.7,감귤
11,02,성산,2016-09-20,51.8,42.7,63.9,51.6,80.8,1.9,8.4,1.4,5.9,감귤
12,02,성산,2016-10-04,54.2,43.7,69.6,58.7,84.4,1.6,8.3,1.0,8.0,감귤
13,02,성산,2016-10-17,58.6,45.8,84.2,70.8,83.9,1.9,8.5,0.9,9.6,감귤
14,02,성산,2016-11-03,60.1,46.2,85.6,70.8,82.6,2.2,9.2,0.8,11.4,감귤
15,02,성산,2016-11-14,60.0,47.7,93.8,77.2,82.1,2.3,9.5,0.7,13.2,감귤
16,04,토산,2016-08-01,40.5,36.8,29.9,19.1,63.9,3.1,6.8,3.6,1.9,감귤
17,04,토산,2016-08-16,45.7,40.4,44.2,30.3,69.2,2.8,7.0,2.9,2.4,감귤
