,상품명,한달판매량
0,제주밀감 3KG(박스),"월 73,728개 구매"
1,Dole 큰송이 바나나(필리핀) 개,"월 25,608개 구매"
2,완숙 토마토 950G(봉),"월 20,308개 구매"
3,신선농장 15Brix 샤인머스캣 1.2KG(박스),"월 64,628개 구매"
4,타이벡밀감 2.8KG(박스),"월 39,074개 구매"
5,10Brix 첫수확한 햇딸기 500G(팩),"월 6,381개 구매"
6,대추방울토마토 1.2KG(박스),"월 17,388개 구매"
7,스테비아 대추방울토마토 500G(팩),"월 17,064개 구매"
8,맛이 예쁜(맛난이)사과 1.8KG(봉),"월 3,199개 구매"
9,제스프리 골드키위(제주) 7-10입(팩),"월 4,104개 구매"
10,고당도 밀감 900G(팩),"월 4,944개 구매"
11,11Brix 배 4-6입(박스),"월 2,658개 구매"
12,고당도 스위트마운틴 바나나(필리핀) 송이,"월 33,510개 구매"
13,11Brix 배 개(국내산),"월 77,321개 구매"
14,홍시 4-6입(팩),"월 27,738개 구매"
15,맛난이 엔비(envy) 사과 4-7입(봉),"월 7,246개 구매"
16,고당도 제주루비골드키위 6-10입(팩),"월 1,294개 구매"
17,제스프리 그린키위 8-14입(팩),"월 4,838개 구매"
18,12Brix 햇사과 (개),"월 60,955개 구매"
19,큰 단감(국산) 개,"월 55,556개 구매"
20,고산지 스위티오(필리핀) 송이,"월 9,410개 구매"
21,소용량 매일매일 바나나 4입(봉)(440G),"월 9,658개 구매"
22,내맘대로 잘라먹는 통파인애플 540G(통),"월 4,420개 구매"
23,제주 밀감 (개),"월 36,617개 구매"
24,항공직송 체리(칠레) 300G(팩),월 717개 구매
25,국내산 고구마말랭이 (60G*3번들),"월 11,365개 구매"
26,Dole 스위티오 파인애플(필리핀) 2입(봉),월 643개 구매
27,Dole 해금 골드 키위 6-11입(팩),"월 4,049개 구매"
28,홈플러스시그니처 냉동 블루베리 1KG,"월 9,485개 구매"
29,알이꽉찬 알밤 800G(봉),"월 2,329개 구매"
30,스낵 토마토800G(팩),"월 4,729개 구매"
